Area,Year,Value
United States of America,1986,0.577
United States of America,1987,0.904
United States of America,1988,0.463
United States of America,1989,0.319
United States of America,1990,0.668
United States of America,1991,0.522
United States of America,1992,0.394
United States of America,1993,0.007
United States of America,1994,0.465
United States of America,1995,0.629
United States of America,1996,-0.009
United States of America,1997,0.391
United States of America,1998,1.268
United States of America,1999,0.755
United States of America,2000,1
United States of America,2001,0.784
United States of America,2002,0.953
United States of America,2003,0.992
United States of America,2004,0.866
United States of America,2005,1.157
United States of America,2006,1.028
United States of America,2007,1.147
United States of America,2008,0.215
United States of America,2009,0.399
United States of America,2010,0.694
United States of America,2011,0.539
United States of America,2012,1.451
United States of America,2013,0.618
United States of America,2014,0.504
United States of America,2015,1.534
United States of America,2016,2.229
United States of America,2017,1.437
United States of America,2018,1.278
United States of America,2019,1.04
United States of America,2020,1.331
