Area,Year,Celcius
USA,1990,0.668
USA,1991,0.522
USA,1992,0.394
USA,1993,0.007
USA,1994,0.465
USA,1995,0.629
USA,1996,-0.009
USA,1997,0.391
USA,1998,1.268
USA,1999,0.755
USA,2000,1
USA,2001,0.784
USA,2002,0.953
USA,2003,0.992
USA,2004,0.866
USA,2005,1.157
USA,2006,1.028
USA,2007,1.147
USA,2008,0.215
USA,2009,0.399
USA,2010,0.694
USA,2011,0.539
USA,2012,1.451
USA,2013,0.618
USA,2014,0.504
USA,2015,1.534
USA,2016,2.229
USA,2017,1.437
USA,2018,1.278
USA,2019,1.04
USA,2020,1.331
